Comment,Sentiment
Storage capacity is 128GB,Neutral
Bought it during sale,Neutral
Very disappointed with the camera,Negative
Great value for money,Positive
Display size is 6.7 inches,Neutral
Storage capacity is 128GB,Neutral
Software bugs everywhere,Negative
Waste of money,Negative
Very satisfied with the purchase,Positive
Not worth buying,Negative
Storage capacity is 128GB,Neutral
Highly recommended,Positive
Storage capacity is 128GB,Neutral
Excellent user experience,Positive
Terrible experience,Negative
Released this month,Neutral
Available in three colors,Neutral
Delivery was on time,Neutral
Battery drains too fast,Negative
Poor customer support,Negative
Battery backup is excellent,Positive
Phone hangs frequently,Negative
Phone received yesterday,Neutral
Bought it during sale,Neutral
Phone hangs frequently,Negative
Super fast performance,Positive
Comes with charger,Neutral
Bought it during sale,Neutral
Heating issue while gaming,Negative
Available in three colors,Neutral
Excellent user experience,Positive
Very disappointed with the camera,Negative
Battery backup is excellent,Positive
Battery backup is excellent,Positive
Delivery was on time,Neutral
Not worth buying,Negative
Excellent user experience,Positive
Excellent user experience,Positive
Battery backup is excellent,Positive
Highly recommended,Positive
Best phone in this price range,Positive
Amazing camera quality,Positive
Storage capacity is 128GB,Neutral
Love the design,Positive
Best phone in this price range,Positive
Amazing camera quality,Positive
Bought it during sale,Neutral
Released this month,Neutral
Screen quality is bad,Negative
Phone received yesterday,Neutral
Not worth buying,Negative
Battery drains too fast,Negative
Using it for one week,Neutral
Love the design,Positive
Available in three colors,Neutral
Released this month,Neutral
Best phone in this price range,Positive
Super fast performance,Positive
Waste of money,Negative
Love the design,Positive
Released this month,Neutral
Great value for money,Positive
Amazing camera quality,Positive
Waste of money,Negative
Phone hangs frequently,Negative
Very satisfied with the purchase,Positive
Very satisfied with the purchase,Positive
Display size is 6.7 inches,Neutral
Highly recommended,Positive
Battery drains too fast,Negative
Poor customer support,Negative
Battery drains too fast,Negative
Comes with charger,Neutral
Terrible experience,Negative
Phone hangs frequently,Negative
Phone received yesterday,Neutral
Very satisfied with the purchase,Positive
Very satisfied with the purchase,Positive
Excellent user experience,Positive
Comes with charger,Neutral
Poor customer support,Negative
Terrible experience,Negative
Great value for money,Positive
Screen quality is bad,Negative
Love the design,Positive
Poor customer support,Negative
Screen quality is bad,Negative
Super fast performance,Positive
Excellent user experience,Positive
Battery backup is excellent,Positive
Battery drains too fast,Negative
Screen quality is bad,Negative
Amazing camera quality,Positive
Price is 25000 rupees,Neutral
Highly recommended,Positive
Best phone in this price range,Positive
Very disappointed with the camera,Negative
Poor customer support,Negative
Bought it during sale,Neutral
Great value for money,Positive
Display size is 6.7 inches,Neutral
Amazing camera quality,Positive
Battery backup is excellent,Positive
Waste of money,Negative
Price is 25000 rupees,Neutral
Price is 25000 rupees,Neutral
Terrible experience,Negative
Super fast performance,Positive
Terrible experience,Negative
Love the design,Positive
Terrible experience,Negative
Released this month,Neutral
Display looks fantastic,Positive
Delivery was on time,Neutral
Using it for one week,Neutral
Screen quality is bad,Negative
Software bugs everywhere,Negative
Bought it during sale,Neutral
Very disappointed with the camera,Negative
Phone received yesterday,Neutral
Love the design,Positive
Not worth buying,Negative
Phone hangs frequently,Negative
Software bugs everywhere,Negative
Poor customer support,Negative
Bought it during sale,Neutral
Super fast performance,Positive
Phone hangs frequently,Negative
Not worth buying,Negative
Comes with charger,Neutral
Terrible experience,Negative
Heating issue while gaming,Negative
Waste of money,Negative
Software bugs everywhere,Negative
Price is 25000 rupees,Neutral
Bought it during sale,Neutral
Battery drains too fast,Negative
Poor customer support,Negative
Screen quality is bad,Negative
Very satisfied with the purchase,Positive
Terrible experience,Negative
Not worth buying,Negative
Not worth buying,Negative
Poor customer support,Negative
Phone received yesterday,Neutral
Phone received yesterday,Neutral
Very disappointed with the camera,Negative
Great value for money,Positive
Display looks fantastic,Positive
Excellent user experience,Positive
Display size is 6.7 inches,Neutral
Terrible experience,Negative
Price is 25000 rupees,Neutral
Poor customer support,Negative
Comes with charger,Neutral
Comes with charger,Neutral
Delivery was on time,Neutral
Best phone in this price range,Positive
Very disappointed with the camera,Negative
Great value for money,Positive
Released this month,Neutral
Battery drains too fast,Negative
Amazing camera quality,Positive
Amazing camera quality,Positive
Excellent user experience,Positive
Software bugs everywhere,Negative
Released this month,Neutral
Storage capacity is 128GB,Neutral
Very disappointed with the camera,Negative
Excellent user experience,Positive
Very satisfied with the purchase,Positive
Storage capacity is 128GB,Neutral
Display size is 6.7 inches,Neutral
Battery backup is excellent,Positive
Super fast performance,Positive
Released this month,Neutral
Poor customer support,Negative
Display looks fantastic,Positive
Display size is 6.7 inches,Neutral
Software bugs everywhere,Negative
Using it for one week,Neutral
Display looks fantastic,Positive
Storage capacity is 128GB,Neutral
Comes with charger,Neutral
Terrible experience,Negative
Using it for one week,Neutral
Released this month,Neutral
Not worth buying,Negative
Highly recommended,Positive
Great value for money,Positive
Very satisfied with the purchase,Positive
Screen quality is bad,Negative
Storage capacity is 128GB,Neutral
Using it for one week,Neutral
Phone received yesterday,Neutral
Excellent user experience,Positive
Price is 25000 rupees,Neutral
Bought it during sale,Neutral
Super fast performance,Positive
Phone received yesterday,Neutral
Love the design,Positive
Phone hangs frequently,Negative
Best phone in this price range,Positive
Available in three colors,Neutral
Poor customer support,Negative
Delivery was on time,Neutral
Comes with charger,Neutral
Waste of money,Negative
Very satisfied with the purchase,Positive
Terrible experience,Negative
Not worth buying,Negative
Storage capacity is 128GB,Neutral
Great value for money,Positive
Great value for money,Positive
Available in three colors,Neutral
Love the design,Positive
Very satisfied with the purchase,Positive
Using it for one week,Neutral
Very disappointed with the camera,Negative
Super fast performance,Positive
Not worth buying,Negative
Using it for one week,Neutral
Comes with charger,Neutral
Heating issue while gaming,Negative
Excellent user experience,Positive
Released this month,Neutral
Poor customer support,Negative
Best phone in this price range,Positive
Storage capacity is 128GB,Neutral
Price is 25000 rupees,Neutral
Great value for money,Positive
Phone received yesterday,Neutral
Display size is 6.7 inches,Neutral
Released this month,Neutral
Phone hangs frequently,Negative
Excellent user experience,Positive
Love the design,Positive
Excellent user experience,Positive
Price is 25000 rupees,Neutral
Delivery was on time,Neutral
Price is 25000 rupees,Neutral
Price is 25000 rupees,Neutral
Not worth buying,Negative
Amazing camera quality,Positive
Available in three colors,Neutral
Terrible experience,Negative
Heating issue while gaming,Negative
Delivery was on time,Neutral
Phone received yesterday,Neutral
Highly recommended,Positive
Terrible experience,Negative
Excellent user experience,Positive
Terrible experience,Negative
Super fast performance,Positive
Software bugs everywhere,Negative
Phone hangs frequently,Negative
Super fast performance,Positive
Amazing camera quality,Positive
Display size is 6.7 inches,Neutral
Battery backup is excellent,Positive
Display looks fantastic,Positive
Great value for money,Positive
Phone received yesterday,Neutral
Love the design,Positive
Amazing camera quality,Positive
Software bugs everywhere,Negative
Display size is 6.7 inches,Neutral
Screen quality is bad,Negative
Released this month,Neutral
Using it for one week,Neutral
Display looks fantastic,Positive
Amazing camera quality,Positive
Screen quality is bad,Negative
Screen quality is bad,Negative
Phone received yesterday,Neutral
Battery drains too fast,Negative
Phone hangs frequently,Negative
Display looks fantastic,Positive
Battery backup is excellent,Positive
Phone received yesterday,Neutral
Delivery was on time,Neutral
Love the design,Positive
Software bugs everywhere,Negative
Delivery was on time,Neutral
Software bugs everywhere,Negative
Delivery was on time,Neutral
Battery drains too fast,Negative
Screen quality is bad,Negative
Not worth buying,Negative
Battery backup is excellent,Positive
Display looks fantastic,Positive
Bought it during sale,Neutral
Heating issue while gaming,Negative
Delivery was on time,Neutral
Love the design,Positive
Very disappointed with the camera,Negative
Great value for money,Positive
Heating issue while gaming,Negative
Comes with charger,Neutral
Waste of money,Negative
